pred_horizon_s,signal_thres,vol_thres,point_per_round,pnl_total,pnl_per_round,num_rounds,point_avg_c_up,point_avg_up_c_up,percentage_up_c_up,point_avg_down_c_up,percentage_down_c_up,num_rounds_up,point_avg_c_down,point_avg_down_c_down,percentage_down_c_down,point_avg_up_c_down,percentage_up_c_down,num_rounds_down
2,0.1,0.05,0.1577,230938,7,31571,0.1594,0.3298,62.2242,-0.2713,16.8733,16132,-0.1559,-0.3197,62.9121,0.2814,16.0567,15439
5,0.1,0.05,0.1471,130420,4,31571,0.1477,0.4559,56.5894,-0.3877,28.4404,16132,-0.1465,-0.439,57.8664,0.3992,26.9448,15439
10,0.1,0.05,0.1539,195070,6,31571,0.1503,0.6101,53.7937,-0.5137,34.6206,16132,-0.1577,-0.5784,56.2018,0.5113,32.7353,15439
2,0.1,0.06,0.1587,236278,8,31055,0.1603,0.3313,62.3403,-0.2722,16.9887,15887,-0.157,-0.3212,63.1131,0.2824,16.1656,15168
5,0.1,0.06,0.1476,132760,4,31055,0.1482,0.4587,56.5746,-0.3892,28.6146,15887,-0.147,-0.4418,57.8718,0.4014,27.0833,15168
10,0.1,0.06,0.1545,196930,6,31055,0.1507,0.6143,53.7546,-0.5159,34.802,15887,-0.1585,-0.5823,56.25,0.5138,32.9114,15168
2,0.1,0.07,0.1601,242188,8,30200,0.1616,0.3338,62.4588,-0.2728,17.1789,15455,-0.1584,-0.3236,63.3299,0.284,16.3784,14745
5,0.1,0.07,0.1486,138340,5,30200,0.1492,0.4635,56.5319,-0.3905,28.9033,15455,-0.148,-0.4461,57.9722,0.4042,27.3652,14745
10,0.1,0.07,0.1554,199840,7,30200,0.1515,0.6212,53.6784,-0.5187,35.0696,15455,-0.1594,-0.5878,56.3377,0.5178,33.157,14745
2,0.1,0.08,0.1615,245405,8,28992,0.1635,0.3371,62.7073,-0.2749,17.4329,14834,-0.1595,-0.326,63.5259,0.2868,16.5913,14158
5,0.1,0.08,0.1491,137490,5,28992,0.1505,0.4695,56.539,-0.3937,29.1897,14834,-0.1477,-0.4501,57.9531,0.4084,27.7017,14158
10,0.1,0.08,0.1559,196050,7,28992,0.1533,0.6297,53.7414,-0.5253,35.2434,14834,-0.1586,-0.595,56.1732,0.5231,33.5853,14158
2,0.1,0.09,0.1634,248501,9,27562,0.1651,0.341,62.8032,-0.2781,17.6337,14098,-0.1616,-0.3301,63.6364,0.2892,16.7706,13464
5,0.1,0.09,0.1509,145100,5,27562,0.1516,0.4756,56.4903,-0.3976,29.451,14098,-0.1502,-0.4565,58.1477,0.4133,27.8966,13464
10,0.1,0.09,0.1585,207740,8,27562,0.1552,0.6385,53.7807,-0.5316,35.4022,14098,-0.1619,-0.6035,56.3948,0.5313,33.5933,13464
2,0.1,0.1,0.1646,243718,9,25951,0.1666,0.3449,62.9038,-0.2814,17.9004,13279,-0.1626,-0.3346,63.6127,0.2925,17.1717,12672
5,0.1,0.1,0.1513,139490,5,25951,0.1517,0.4815,56.4651,-0.4031,29.8291,13279,-0.1508,-0.4624,58.1755,0.4199,28.1408,12672
10,0.1,0.1,0.1579,191630,7,25951,0.1538,0.6486,53.5357,-0.5395,35.8536,13279,-0.1623,-0.6109,56.4394,0.5391,33.8463,12672
2,0.1,0.11,0.1662,239661,10,24327,0.1683,0.3488,63.0513,-0.2832,18.2213,12447,-0.1639,-0.3386,63.6448,0.294,17.5337,11880
5,0.1,0.11,0.1508,127470,5,24327,0.1507,0.4872,56.3027,-0.4087,30.2322,12447,-0.1509,-0.469,58.0135,0.4245,28.5606,11880
10,0.1,0.11,0.1576,177390,7,24327,0.1521,0.6564,53.3542,-0.5458,36.2899,12447,-0.1634,-0.6193,56.5236,0.5479,34.0741,11880
2,0.1,0.12,0.1679,234398,10,22620,0.1701,0.353,63.1797,-0.2863,18.4923,11567,-0.1656,-0.3429,63.7564,0.2976,17.8142,11053
5,0.1,0.12,0.1518,125520,6,22620,0.1526,0.4939,56.3759,-0.4128,30.466,11567,-0.151,-0.4752,57.9571,0.431,28.879,11053
10,0.1,0.12,0.1585,170940,8,22620,0.1535,0.6646,53.4019,-0.5532,36.4053,11567,-0.1638,-0.6283,56.4281,0.5561,34.2984,11053
2,0.1,0.13,0.1691,224525,11,20936,0.1704,0.3568,62.9474,-0.2886,18.7833,10701,-0.1677,-0.3476,63.83,0.3001,18.0459,10235
5,0.1,0.13,0.1521,118090,6,20936,0.1521,0.5012,56.1349,-0.418,30.9223,10701,-0.1522,-0.4832,57.8505,0.4364,29.1744,10235
10,0.1,0.13,0.1599,167140,8,20936,0.154,0.6756,53.3221,-0.5627,36.6414,10701,-0.1661,-0.6384,56.5217,0.5664,34.3723,10235
2,0.1,0.14,0.1708,216521,11,19284,0.1717,0.3605,62.9524,-0.2915,18.9496,9863,-0.1698,-0.3512,64.1333,0.3043,18.2252,9421
5,0.1,0.14,0.153,113820,6,19284,0.1517,0.5063,55.987,-0.4218,31.2481,9863,-0.1544,-0.4899,58.0193,0.4432,29.2963,9421
10,0.1,0.14,0.1619,165270,9,19284,0.1538,0.6833,53.2495,-0.5706,36.8144,9863,-0.1704,-0.6489,56.8836,0.5779,34.3913,9421
2,0.1,0.15,0.1723,206702,12,17670,0.1735,0.3632,63.2471,-0.2963,18.9763,9085,-0.1711,-0.3562,64.0419,0.3076,18.5207,8585
5,0.1,0.15,0.1547,113370,6,17670,0.1534,0.5136,55.9824,-0.4275,31.3594,9085,-0.1561,-0.4989,57.8917,0.4479,29.6331,8585
10,0.1,0.15,0.1643,164340,9,17670,0.157,0.694,53.3847,-0.5797,36.8299,9085,-0.1721,-0.6588,56.9132,0.5906,34.3506,8585
2,0.1,0.16,0.1746,200372,12,16202,0.1764,0.3673,63.527,-0.2975,19.1267,8313,-0.1726,-0.3605,64.0385,0.3095,18.8364,7889
5,0.1,0.16,0.1581,120280,7,16202,0.1583,0.5222,56.2132,-0.4326,31.2643,8313,-0.1579,-0.5053,58.0809,0.4557,29.763,7889
10,0.1,0.16,0.1678,167590,10,16202,0.1635,0.7023,53.8434,-0.5877,36.5211,8313,-0.1723,-0.6681,56.8767,0.5998,34.6178,7889
2,0.1,0.17,0.1757,188282,13,14827,0.1783,0.3729,63.5599,-0.302,19.4163,7607,-0.1728,-0.3624,64.2244,0.3143,19.0582,7220
5,0.1,0.17,0.1587,112910,8,14827,0.1598,0.5282,56.3823,-0.4387,31.4579,7607,-0.1575,-0.5097,58.1302,0.4657,29.7922,7220
10,0.1,0.17,0.169,158600,11,14827,0.1652,0.7123,54.0029,-0.599,36.6373,7607,-0.173,-0.6764,56.7313,0.6059,34.7784,7220
2,0.1,0.18,0.1775,179372,13,13539,0.1791,0.3779,63.318,-0.3048,19.7319,6938,-0.1758,-0.367,64.4296,0.3186,19.0426,6601
5,0.1,0.18,0.1587,102840,8,13539,0.1596,0.5342,56.3275,-0.4454,31.7238,6938,-0.1577,-0.5143,58.1882,0.4718,30.0106,6601
10,0.1,0.18,0.1677,139590,10,13539,0.1631,0.7225,53.7187,-0.6093,36.9271,6938,-0.1725,-0.6792,56.8702,0.617,34.6463,6601
2,0.1,0.19,0.1791,169695,14,12349,0.181,0.3825,63.3814,-0.3086,19.9176,6311,-0.1772,-0.3706,64.5909,0.324,19.1785,6038
5,0.1,0.19,0.1621,106520,9,12349,0.1651,0.5425,56.5362,-0.4467,31.7065,6311,-0.1589,-0.5204,58.2478,0.4786,30.1259,6038
10,0.1,0.19,0.1715,141500,11,12349,0.1688,0.7339,53.9851,-0.6153,36.9672,6311,-0.1744,-0.6879,56.8731,0.6251,34.6804,6038
2,0.1,0.2,0.1801,157702,14,11240,0.1822,0.3868,63.4227,-0.3137,20.1079,5744,-0.1779,-0.3751,64.2831,0.3257,19.4141,5496
5,0.1,0.2,0.1632,100600,9,11240,0.1661,0.5542,56.1978,-0.4526,32.1205,5744,-0.1601,-0.5273,58.2787,0.4867,30.2402,5496
10,0.1,0.2,0.1729,133390,12,11240,0.1691,0.7455,53.9694,-0.6272,37.1866,5744,-0.1769,-0.6972,57.0415,0.6341,34.8253,5496
2,0.1,0.21,0.181,145975,14,10217,0.1835,0.3921,63.2984,-0.3172,20.3813,5245,-0.1782,-0.3799,64.1392,0.33,19.8311,4972
5,0.1,0.21,0.1632,91420,9,10217,0.1682,0.5643,56.1487,-0.4612,32.2212,5245,-0.1578,-0.5362,57.7434,0.4943,30.712,4972
10,0.1,0.21,0.1736,123400,12,10217,0.1744,0.7608,54.0324,-0.6346,37.2927,5245,-0.1727,-0.7087,56.6171,0.6448,35.4385,4972
2,0.1,0.22,0.1818,136015,15,9347,0.1839,0.396,63.1217,-0.3239,20.3954,4805,-0.1796,-0.3854,63.9586,0.3316,20.1673,4542
5,0.1,0.22,0.1637,85150,9,9347,0.1685,0.5679,56.3996,-0.4706,32.2581,4805,-0.1587,-0.5416,57.7059,0.4996,30.8014,4542
10,0.1,0.22,0.1693,100960,11,9347,0.1703,0.7664,53.7773,-0.6438,37.565,4805,-0.1683,-0.7143,56.2968,0.6483,36.0634,4542
2,0.1,0.23,0.1827,126279,15,8533,0.1842,0.4015,62.8284,-0.3273,20.7905,4377,-0.181,-0.3879,64.1482,0.3338,20.308,4156
5,0.1,0.23,0.1622,74000,9,8533,0.1647,0.5752,55.9287,-0.476,32.9678,4377,-0.1596,-0.5467,57.9163,0.5067,30.9913,4156
10,0.1,0.23,0.1676,87740,10,8533,0.1678,0.7753,53.7583,-0.6561,37.9484,4377,-0.1674,-0.7209,56.3523,0.6586,36.2608,4156
2,0.1,0.24,0.1838,117426,15,7754,0.1874,0.4062,62.9256,-0.3307,20.6305,3965,-0.1801,-0.3883,64.1066,0.3379,20.3748,3789
5,0.1,0.24,0.1625,67900,9,7754,0.1679,0.5843,56.1665,-0.4841,33.1148,3965,-0.1569,-0.5494,57.8517,0.5145,31.2747,3789
10,0.1,0.24,0.1689,82750,11,7754,0.1722,0.7881,53.8462,-0.6667,37.831,3965,-0.1655,-0.7298,56.1362,0.6709,36.3948,3789
2,0.1,0.25,0.1858,111532,16,7082,0.1897,0.4125,62.913,-0.3327,20.9802,3632,-0.1817,-0.3924,64.2899,0.3381,20.8696,3450
5,0.1,0.25,0.1652,67750,10,7082,0.1704,0.5921,56.1949,-0.486,33.3976,3632,-0.1597,-0.5598,57.7681,0.5208,31.4203,3450
10,0.1,0.25,0.1697,77170,11,7082,0.1727,0.8001,53.772,-0.6755,38.1333,3632,-0.1665,-0.7485,55.6522,0.681,36.7246,3450
2,0.1,0.26,0.1861,101689,16,6427,0.19,0.4149,62.8485,-0.3339,21.2121,3300,-0.182,-0.3949,64.2469,0.3414,21.0106,3127
5,0.1,0.26,0.1677,66290,10,6427,0.1723,0.6003,55.9697,-0.4875,33.5758,3300,-0.1629,-0.5663,58.0748,0.5324,31.18,3127
10,0.1,0.26,0.1667,64430,10,6427,0.1673,0.8102,53.2424,-0.6835,38.6364,3300,-0.1661,-0.7496,55.7723,0.6868,36.6805,3127
2,0.1,0.27,0.1881,96669,16,5884,0.1929,0.4205,62.9556,-0.3365,21.3386,3018,-0.183,-0.3986,64.3754,0.3463,21.2491,2866
5,0.1,0.27,0.1709,66380,11,5884,0.1775,0.605,56.4612,-0.4943,33.2008,3018,-0.164,-0.5746,58.0251,0.5423,31.2282,2866
10,0.1,0.27,0.1688,62540,11,5884,0.1714,0.8149,53.5454,-0.6845,38.7011,3018,-0.166,-0.7608,55.5827,0.6913,37.1598,2866
2,0.1,0.28,0.187,86602,16,5382,0.1909,0.4246,62.4955,-0.3381,22.0253,2765,-0.1828,-0.4026,63.9664,0.3446,21.666,2617
5,0.1,0.28,0.1729,63900,12,5382,0.1793,0.6115,56.4919,-0.4972,33.4177,2765,-0.1661,-0.5853,57.8525,0.5512,31.2954,2617
10,0.1,0.28,0.1698,58950,11,5382,0.1696,0.8234,53.4539,-0.6971,38.8065,2765,-0.1701,-0.7774,55.7126,0.7039,37.371,2617
2,0.1,0.29,0.187,78159,16,4853,0.189,0.4253,62.366,-0.342,22.2707,2519,-0.1848,-0.4049,64.2245,0.3476,21.6367,2334
5,0.1,0.29,0.1735,58540,12,4853,0.177,0.616,56.3319,-0.502,33.8626,2519,-0.1698,-0.5921,58.1405,0.5548,31.4482,2334
10,0.1,0.29,0.1714,55450,11,4853,0.1668,0.8343,53.0766,-0.7036,39.2219,2519,-0.1764,-0.7939,55.7412,0.714,37.2751,2334
2,0.1,0.3,0.1897,74319,17,4393,0.1882,0.4301,62.0872,-0.3496,22.5451,2271,-0.1913,-0.4099,64.7031,0.3446,21.442,2122
5,0.1,0.3,0.18,61550,14,4393,0.1792,0.628,56.3628,-0.5147,33.9498,2271,-0.1809,-0.6002,59.1894,0.5684,30.6786,2122
10,0.1,0.3,0.1773,57950,13,4393,0.1671,0.8465,52.7961,-0.7092,39.454,2271,-0.1882,-0.8039,56.5504,0.7294,36.5221,2122
2,0.1,0.31,0.1929,71636,18,4010,0.1916,0.4338,62.2651,-0.3512,22.3614,2075,-0.1943,-0.4152,64.6512,0.3465,21.3953,1935
5,0.1,0.31,0.1829,59590,15,4010,0.1807,0.6345,56.1446,-0.5151,34.0723,2075,-0.1852,-0.6091,59.4832,0.5771,30.6977,1935
10,0.1,0.31,0.1801,56260,14,4010,0.1655,0.8515,52.6265,-0.7115,39.7108,2075,-0.1957,-0.8119,57.1059,0.7406,36.1757,1935
2,0.1,0.32,0.1907,63509,17,3692,0.1913,0.4383,62.1268,-0.35,23.1535,1909,-0.19,-0.4144,64.498,0.3496,22.0976,1783
5,0.1,0.32,0.178,49480,13,3692,0.18,0.6448,55.8408,-0.5192,34.6778,1909,-0.1758,-0.6142,58.7213,0.5854,31.576,1783
10,0.1,0.32,0.177,48310,13,3692,0.1679,0.8779,52.1739,-0.722,40.1781,1909,-0.1866,-0.8223,56.4778,0.7622,36.4554,1783
2,0.1,0.33,0.192,59546,18,3382,0.1901,0.4441,61.7277,-0.3556,23.627,1748,-0.194,-0.4175,64.8715,0.3517,21.8482,1634
5,0.1,0.33,0.1801,47420,14,3382,0.1799,0.6502,55.6636,-0.5225,34.8398,1748,-0.1803,-0.6265,58.7515,0.5992,31.3341,1634
10,0.1,0.33,0.1762,43460,13,3382,0.1627,0.885,51.659,-0.7241,40.6751,1748,-0.1906,-0.8291,57.0379,0.7805,36.1689,1634
2,0.1,0.34,0.193,55776,18,3114,0.19,0.4474,61.6337,-0.3608,23.7624,1616,-0.1963,-0.4235,65.1535,0.3581,22.2296,1498
5,0.1,0.34,0.1803,43860,14,3114,0.1793,0.6567,55.5693,-0.5271,35.2104,1616,-0.1813,-0.6351,59.1455,0.6141,31.6422,1498
10,0.1,0.34,0.177,40770,13,3114,0.1611,0.899,51.2376,-0.7289,41.0891,1616,-0.1941,-0.841,57.4766,0.8086,35.781,1498
2,0.1,0.35,0.1946,52283,18,2846,0.1921,0.4525,61.528,-0.3597,24.0109,1466,-0.1972,-0.4256,65.4348,0.3653,22.2464,1380
5,0.1,0.35,0.1825,41980,15,2846,0.1786,0.666,55.2524,-0.531,35.6753,1466,-0.1867,-0.6428,59.5652,0.6225,31.5217,1380
10,0.1,0.35,0.1793,39280,14,2846,0.1591,0.9144,51.0232,-0.7401,41.5416,1466,-0.2008,-0.8496,57.971,0.8267,35.2899,1380
2,0.1,0.36,0.1967,49709,19,2613,0.1943,0.457,61.6408,-0.3648,23.9468,1353,-0.1993,-0.4348,65.2381,0.3702,22.7778,1260
5,0.1,0.36,0.1772,34410,13,2613,0.1717,0.6653,55.1367,-0.5355,36.4375,1353,-0.1832,-0.6506,59.6032,0.6429,31.8254,1260
10,0.1,0.36,0.1729,31020,12,2613,0.1508,0.9258,50.4065,-0.7483,42.2025,1353,-0.1966,-0.8696,57.381,0.8429,35.873,1260
2,0.1,0.37,0.1971,45990,19,2405,0.1937,0.4614,61.7106,-0.3744,24.3006,1251,-0.2007,-0.4408,65.078,0.3767,22.8769,1154
5,0.1,0.37,0.1767,31270,13,2405,0.1719,0.6753,54.9161,-0.5468,36.3709,1251,-0.1818,-0.6598,59.2721,0.6475,32.3224,1154
10,0.1,0.37,0.1759,30700,13,2405,0.1582,0.9367,50.7594,-0.7603,41.7266,1251,-0.1951,-0.8755,57.1924,0.8499,35.9619,1154
2,0.1,0.38,0.1973,42480,19,2213,0.1961,0.4621,62.2088,-0.381,23.9862,1159,-0.1987,-0.441,65.1803,0.3865,22.9602,1054
5,0.1,0.38,0.178,29650,13,2213,0.1726,0.6855,54.616,-0.5501,36.6695,1159,-0.1839,-0.6705,59.203,0.6529,32.6376,1054
10,0.1,0.38,0.1765,28660,13,2213,0.1469,0.936,50.1294,-0.7593,42.4504,1159,-0.2091,-0.8888,57.7799,0.865,35.1992,1054
2,0.1,0.39,0.2014,41286,20,2023,0.2006,0.4652,62.6754,-0.3814,23.8541,1069,-0.2023,-0.4461,65.1992,0.3876,22.8512,954
5,0.1,0.39,0.192,35600,18,2023,0.1836,0.7012,54.8176,-0.5474,36.6698,1069,-0.2014,-0.6835,59.1195,0.6279,32.2851,954
10,0.1,0.39,0.1917,35420,18,2023,0.1641,0.9613,50.3274,-0.7562,42.2825,1069,-0.2226,-0.91,57.7568,0.8525,35.5346,954
2,0.11,0.05,0.1684,276475,11,26262,0.1699,0.3386,63.4528,-0.2757,16.2954,13421,-0.1668,-0.3273,64.3564,0.2836,15.4427,12841
5,0.11,0.05,0.1558,176940,7,26262,0.1566,0.4649,57.2759,-0.3929,27.9115,13421,-0.1549,-0.4482,58.4768,0.4026,26.6179,12841
10,0.11,0.05,0.1658,255960,10,26262,0.1631,0.6209,54.5637,-0.5162,34.0362,13421,-0.1686,-0.5893,56.818,0.5146,32.295,12841
2,0.11,0.06,0.1695,280125,11,25849,0.1708,0.3401,63.5607,-0.2766,16.3969,13222,-0.168,-0.3288,64.5601,0.2847,15.5381,12627
5,0.11,0.06,0.1564,178790,7,25849,0.1571,0.4677,57.2682,-0.3942,28.0971,13222,-0.1556,-0.4511,58.4937,0.4046,26.7443,12627
10,0.11,0.06,0.1665,256910,10,25849,0.1635,0.625,54.5455,-0.5184,34.2308,13222,-0.1696,-0.5928,56.9019,0.5171,32.4305,12627
2,0.11,0.07,0.1709,283445,11,25154,0.1722,0.3425,63.6929,-0.2774,16.5682,12868,-0.1695,-0.3314,64.7566,0.2861,15.7496,12286
5,0.11,0.07,0.1574,181690,7,25154,0.1582,0.4723,57.2583,-0.3958,28.3727,12868,-0.1566,-0.455,58.6033,0.4074,27.0063,12286
10,0.11,0.07,0.1674,257050,10,25154,0.1644,0.6321,54.4529,-0.5212,34.4887,12868,-0.1705,-0.5983,56.9673,0.521,32.6958,12286
2,0.11,0.08,0.1725,283821,12,24173,0.1741,0.3461,63.8752,-0.2792,16.8135,12371,-0.1708,-0.3338,64.9636,0.2887,15.9549,11802
5,0.11,0.08,0.158,179140,7,24173,0.1594,0.4784,57.2306,-0.399,28.6557,12371,-0.1566,-0.4589,58.6172,0.412,27.292,11802
10,0.11,0.08,0.1679,250570,10,24173,0.1661,0.6408,54.4823,-0.5276,34.694,12371,-0.1698,-0.6051,56.8378,0.5264,33.0876,11802
