ts,datetime,MidPoint,MidPoint_500ms,MidPoint_1000ms
1345040100500000000,2012-08-15T09:15:00.500000000,2356.1,2355.4,2355.6
1345040101000000000,2012-08-15T09:15:01.000000000,2355.4,2355.6,2355.4
1345040101500000000,2012-08-15T09:15:01.500000000,2355.6,2355.4,2355.9
1345040102000000000,2012-08-15T09:15:02.000000000,2355.4,2355.9,2355.7
1345040102500000000,2012-08-15T09:15:02.500000000,2355.9,2355.7,2355.8
1345040103000000000,2012-08-15T09:15:03.000000000,2355.7,2355.8,2356.2
1345040103500000000,2012-08-15T09:15:03.500000000,2355.8,2356.2,2355.4
1345040104000000000,2012-08-15T09:15:04.000000000,2356.2,2355.4,2355.5
1345040104500000000,2012-08-15T09:15:04.500000000,2355.4,2355.5,2355.7
1345040105000000000,2012-08-15T09:15:05.000000000,2355.5,2355.7,2355.4
1345040105500000000,2012-08-15T09:15:05.500000000,2355.7,2355.4,2355.6
1345040106000000000,2012-08-15T09:15:06.000000000,2355.4,2355.6,2355.9
1345040106500000000,2012-08-15T09:15:06.500000000,2355.6,2355.9,2355.3
1345040107000000000,2012-08-15T09:15:07.000000000,2355.9,2355.3,2355.3
1345040107500000000,2012-08-15T09:15:07.500000000,2355.3,2355.3,2354.7
1345040108000000000,2012-08-15T09:15:08.000000000,2355.3,2354.7,2354.6
1345040108500000000,2012-08-15T09:15:08.500000000,2354.7,2354.6,2354.5
1345040109000000000,2012-08-15T09:15:09.000000000,2354.6,2354.5,2354.3
1345040109500000000,2012-08-15T09:15:09.500000000,2354.5,2354.3,2354.3
1345040110000000000,2012-08-15T09:15:10.000000000,2354.3,2354.3,2354.1
1345040110500000000,2012-08-15T09:15:10.500000000,2354.3,2354.1,2354.1
1345040111000000000,2012-08-15T09:15:11.000000000,2354.1,2354.1,2354.6
1345040111500000000,2012-08-15T09:15:11.500000000,2354.1,2354.6,2354.2
1345040112000000000,2012-08-15T09:15:12.000000000,2354.6,2354.2,2354.3
1345040112500000000,2012-08-15T09:15:12.500000000,2354.2,2354.3,2354.5
1345040113000000000,2012-08-15T09:15:13.000000000,2354.3,2354.5,2354.1
1345040113500000000,2012-08-15T09:15:13.500000000,2354.5,2354.1,2354.1
1345040114000000000,2012-08-15T09:15:14.000000000,2354.1,2354.1,2353.9
1345040114500000000,2012-08-15T09:15:14.500000000,2354.1,2353.9,2354.1
1345040115000000000,2012-08-15T09:15:15.000000000,2353.9,2354.1,2353.9
1345040115500000000,2012-08-15T09:15:15.500000000,2354.1,2353.9,2353.9
1345040116000000000,2012-08-15T09:15:16.000000000,2353.9,2353.9,2353.9
1345040116500000000,2012-08-15T09:15:16.500000000,2353.9,2353.9,2353.7
1345040117000000000,2012-08-15T09:15:17.000000000,2353.9,2353.7,2353.7
1345040117500000000,2012-08-15T09:15:17.500000000,2353.7,2353.7,2353.7
1345040118000000000,2012-08-15T09:15:18.000000000,2353.7,2353.7,2353.8
1345040118500000000,2012-08-15T09:15:18.500000000,2353.7,2353.8,2353.9
1345040119000000000,2012-08-15T09:15:19.000000000,2353.8,2353.9,2353.7
1345040119500000000,2012-08-15T09:15:19.500000000,2353.9,2353.7,2353.5
1345040120000000000,2012-08-15T09:15:20.000000000,2353.7,2353.5,2353.5
1345040120500000000,2012-08-15T09:15:20.500000000,2353.5,2353.5,2353.5
1345040121000000000,2012-08-15T09:15:21.000000000,2353.5,2353.5,2353.7
1345040121500000000,2012-08-15T09:15:21.500000000,2353.5,2353.7,2353.7
1345040122000000000,2012-08-15T09:15:22.000000000,2353.7,2353.7,2353.7
1345040122500000000,2012-08-15T09:15:22.500000000,2353.7,2353.7,2353.8
1345040123000000000,2012-08-15T09:15:23.000000000,2353.7,2353.8,2353.7
1345040123500000000,2012-08-15T09:15:23.500000000,2353.8,2353.7,2353.5
1345040124000000000,2012-08-15T09:15:24.000000000,2353.7,2353.5,2353.5
1345040124500000000,2012-08-15T09:15:24.500000000,2353.5,2353.5,2353.5
1345040125000000000,2012-08-15T09:15:25.000000000,2353.5,2353.5,2353.5
1345040125500000000,2012-08-15T09:15:25.500000000,2353.5,2353.5,2353.5
1345040126000000000,2012-08-15T09:15:26.000000000,2353.5,2353.5,2353.4
1345040126500000000,2012-08-15T09:15:26.500000000,2353.5,2353.4,2353.4
1345040127000000000,2012-08-15T09:15:27.000000000,2353.4,2353.4,2353.6
1345040127500000000,2012-08-15T09:15:27.500000000,2353.4,2353.6,2353.3
1345040128000000000,2012-08-15T09:15:28.000000000,2353.6,2353.3,2353.3
1345040128500000000,2012-08-15T09:15:28.500000000,2353.3,2353.3,2353.3
1345040129500000000,2012-08-15T09:15:29.500000000,2353.3,2353.3,2353.4
1345040130000000000,2012-08-15T09:15:30.000000000,2353.3,2353.4,2353.4
1345040130500000000,2012-08-15T09:15:30.500000000,2353.4,2353.4,2353.3
1345040131000000000,2012-08-15T09:15:31.000000000,2353.4,2353.3,2353.1
1345040131500000000,2012-08-15T09:15:31.500000000,2353.3,2353.1,2352.9
1345040132000000000,2012-08-15T09:15:32.000000000,2353.1,2352.9,2352.9
1345040132500000000,2012-08-15T09:15:32.500000000,2352.9,2352.9,2352.7
1345040133000000000,2012-08-15T09:15:33.000000000,2352.9,2352.7,2352.7
1345040133500000000,2012-08-15T09:15:33.500000000,2352.7,2352.7,2352.7
1345040134000000000,2012-08-15T09:15:34.000000000,2352.7,2352.7,2352.5
1345040134500000000,2012-08-15T09:15:34.500000000,2352.7,2352.5,2352.5
1345040135000000000,2012-08-15T09:15:35.000000000,2352.5,2352.5,2352.7
1345040135500000000,2012-08-15T09:15:35.500000000,2352.5,2352.7,2352.7
1345040136000000000,2012-08-15T09:15:36.000000000,2352.7,2352.7,2352.7
