pred_horizon_s,signal_thres,vol_thres,pnl_total,pnl_per_round,num_rounds,point_avg_c_up,point_avg_up_c_up,percentage_up_c_up,point_avg_down_c_up,percentage_down_c_up,num_rounds_up,point_avg_c_down,point_avg_down_c_down,percentage_down_c_down,point_avg_up_c_down,percentage_up_c_down,num_rounds_down
2,0.2,0,1747680,90,19337,0.31,0.53,71.21,-0.39,17.5,9626,-0.3,-0.51,71,0.4,17.05,9711
5,0.2,0,1500660,78,19337,0.26,0.75,59.31,-0.58,31.52,9626,-0.25,-0.72,59.97,0.59,30.27,9711
10,0.2,0,1498350,77,19337,0.27,1.01,55.35,-0.77,37.45,9626,-0.24,-0.95,56.48,0.79,36.89,9711
2,0.2,0.01,1747410,90,19336,0.31,0.53,71.21,-0.39,17.51,9625,-0.3,-0.51,71,0.4,17.05,9711
5,0.2,0.01,1500180,78,19336,0.26,0.75,59.3,-0.58,31.52,9625,-0.25,-0.72,59.97,0.59,30.27,9711
10,0.2,0.01,1497630,77,19336,0.27,1.01,55.35,-0.77,37.45,9625,-0.24,-0.95,56.48,0.79,36.89,9711
2,0.2,0.02,1746420,90,19332,0.31,0.53,71.21,-0.39,17.51,9624,-0.3,-0.51,70.99,0.4,17.06,9708
5,0.2,0.02,1499490,78,19332,0.26,0.75,59.3,-0.58,31.53,9624,-0.25,-0.72,59.98,0.59,30.27,9708
10,0.2,0.02,1498440,78,19332,0.27,1.01,55.34,-0.77,37.46,9624,-0.24,-0.95,56.49,0.79,36.88,9708
2,0.2,0.03,1746360,90,19323,0.31,0.53,71.23,-0.39,17.49,9619,-0.3,-0.51,70.98,0.4,17.07,9704
5,0.2,0.03,1498470,78,19323,0.26,0.75,59.31,-0.58,31.51,9619,-0.25,-0.72,59.98,0.59,30.28,9704
10,0.2,0.03,1496910,77,19323,0.27,1.01,55.35,-0.77,37.46,9619,-0.24,-0.95,56.48,0.79,36.88,9704
2,0.2,0.04,1744710,90,19301,0.31,0.53,71.24,-0.39,17.51,9608,-0.3,-0.51,70.98,0.4,17.07,9693
5,0.2,0.04,1497420,78,19301,0.26,0.75,59.32,-0.58,31.54,9608,-0.25,-0.72,59.99,0.59,30.27,9693
10,0.2,0.04,1494120,77,19301,0.27,1.01,55.32,-0.77,37.5,9608,-0.24,-0.95,56.46,0.79,36.91,9693
2,0.2,0.05,1741740,90,19261,0.31,0.53,71.24,-0.39,17.55,9583,-0.3,-0.51,70.98,0.4,17.1,9678
5,0.2,0.05,1492860,78,19261,0.26,0.75,59.29,-0.58,31.59,9583,-0.25,-0.72,59.98,0.59,30.29,9678
10,0.2,0.05,1490100,77,19261,0.27,1.01,55.34,-0.77,37.52,9583,-0.24,-0.95,56.45,0.79,36.94,9678
2,0.2,0.06,1737510,91,19186,0.31,0.53,71.21,-0.39,17.59,9544,-0.3,-0.51,70.96,0.4,17.12,9642
